iter	Passed	Remaining
0	62	62750
1	75	37595
2	80	26661
3	84	21047
4	87	17350
5	98	16285
6	96	13694
77	114	14246
8	122	13493
9	128	12682
10	132	11918
11	137	11290
12	141	10723
13	145	10258
14	153	10053
15	161	9926
16	165	9562
17	170	9284
18	172	8911
19	177	8687
20	179	8387
21	183	8145
22	187	7953
23	190	724	124	196	7670
25	200	726	126	204	727	227	211	728	209	7014
29	229	221	730	218	6840
31	231	234	732	232	233	233	233	234	234	234	235	235	235	236	236	252	637	237	256	638	238	267	6591
39	274	6590
40	278	641	341	285	642	342	289	643	343	301	644	344	308	645	342	7101
46	346	322	647	347	329	648	348	334	649	369	7029
50	380	7074
51	388	7084
52	395	7065
53	404	7081
54	408	7020
55	413	6967
56	419	6934
57	426	6919
58	434	6930
59	440	6903
60	448	6908
61	453	6856
62	457	6809
63	461	6751
64	467	6726
65	470	6663
66	478	6663
67	486	6663
68	493	6652
69	499	6637
70	508	6651
71	514	6634
72	520	6608
73	525	6578
74	529	6530
75	533	6491
76	537	6448
77	546	6455
78	550	6414
79	554	6371
80	558	6336
81	566	6347
82	571	6310
83	575	6277
84	579	6238585	592	6300
86	601	6311
87	608	6306
88	615	6295
89	622	6289
90	627	6265
91	632	6243
92	638	6226
93	646	6232
94	650	6201
95	654	6167
96	656	6112
97	659	6070
98	664	6044
99	667	6005
100	674	6006
101	678	59710102	682	59410103	690	59510104	696	59310105	704	5941
106	714	5966
107	721	5957
108	731	5980
109	737	5970
110	750	6009
111	756	5997
112	768	6036
113	780	6067
114	791	6090
115	802	6114
116	818	6176
117	822	6149
118	827	6123
119	864	6337
120	876	6370
121	880	6335
122	885	6314
123	892	6307
124	904	6331
125	912	6327
126	919	6318
127	925	6302
128	937	6330
129	952	6372
130	958	6357
131	964	6339
132	970	6325
133	974	6297
134	982	6292
135	986	6268
136	995	6270
137	1002	6263
138	1011	6264
139	1017	6250
140	1021	6220
141	1034	6253
142	1040	6235
143	1044	6208
144	1051	6200
145	1055	6171
146	1068	6201
147	1072	6174
148	1077	6151
149	1082	6132
150	1085	6104
151	1089	6079
152	1093	6053
153	1096	6025
154	1107	6038
155	1116	6042
156	1124	6036
157	1127	6010
158	1132	5991
159	1138	5976
160	1143	5958
161	1155	5975
162	1161	5965
163	1172	5975
164	1180	5975
165	1188	5972
166	1201	5990
167	1210	5995
168	1214	5972
169	1219	5955
170	1224	5937
171	1233	5940
172	1239	5925
173	1243	5901
174	1246	5877
175	1252	5862
176	1261	5865
177	1267	5853
178	1272	5834
179	1284	5849
180	1292	5849
181	1297	5830
182	1308	5841
183	1323	5870
184	1334	5880
185	1340	5868
186	1345	5848
187	1363	5890
188	1370	5881
189	1381	5888
190	1388	5879
191	1397	5881
192	1406	5882
193	1411	5864
194	1417	5850
195	1422	5835
196	1426	5816
197	1434	5811
198	1442	5806
199	1451	5806
200	1457	5792
201	1461	5773
202	1467	5760
203	1473	5749
204	1489	5774
205	1495	5763
206	1498	5741
207	1507	5739
208	1517	5744
209	1530	5756
210	1538	5752
211	1543	5735
212	1549	5725
213	1554	5709
214	1559	5692
215	1565	5683
216	1571	5671
217	1575	5652
218	1578	5629
219	1594	5654
220	1599	5638
221	1605	5627
222	1613	5621
223	1621	5615
224	1626	5601
225	1632	5592
226	1645	5601
227	1650	5588
228	1653	5566
229	1656	5546
230	1666	5547
231	1673	5540
232	1679	5527
233	1687	5525
234	1691	5505
235	1694	5485
236	1699	5469
237	1705	5461
238	1713	5454
239	1717	5438
240	1721	5422
241	1725	5404
242	1729	5387
243	1733	5371
244	1742	5368
245	1745	5350
246	1749	5334
247	1753	5316
248	1756	5298
249	1762	5287
250	1767	5273
251	1770	5256
252	1775	5241
253	1777	5220
254	1781	5204
255	1788	5197
256	1795	5192
257	1801	5180
258	1805	5165
259	1809	5149
260	1813	5134
261	1818	5122
262	1822	5106
263	1828	5097
264	1833	5085
265	1838	5073
266	1842	5059
267	1848	5048
268	1852	5034
269	1858	5024
270	1863	5013
271	1869	5002
272	1877	5000
273	1881	4984
274	1886	4973
275	1896	4976
276	1907	4977
277	1911	4963
278	1920	4963
279	1926	4953
280	1929	4937
281	1934	4925
282	1939	4914
283	1945	4905
284	1949	4890
285	1954	4879
286	1956	4859
287	1963	4854
288	1969	4844
289	1973	4830
290	1976	4816
291	1979	4800
292	1984	4788
293	1989	4778
294	2000	4779
295	2007	4775
296	2014	4768
297	2018	4755
298	2025	4749
299	2034	4746
300	2044	4748
301	2050	4739
302	2062	4744
303	2070	4740
304	2075	4728
305	2079	4716
306	2083	4702
307	2088	4692
308	2094	4683
309	2098	4671
310	2101	4656
311	2104	4640
312	2108	4628
313	2113	4616
314	2116	4603
315	2120	4589
316	2124	4578
317	2138	4585
318	2144	4577
319	2148	4565
320	2153	4556
321	2160	4549
322	2166	4540
323	2170	4528
324	2176	4520
325	2181	4511
326	2185	4497
327	2190	4488
328	2199	4485
329	2206	4479
330	2210	4468
331	2214	4456
332	2222	4452
333	2234	4455
334	2242	4451
335	2246	4440
336	2253	4432
337	2257	4421
338	2262	4412
339	2271	4408
340	2281	4408
341	2289	4405
342	2295	4397
343	2302	4390
344	2305	4376
345	2309	4364
346	2315	4358
347	2320	4347
348	2332	4351
349	2344	4353
350	2347	4340
351	2354	4334
352	2360	4325
353	2371	4328
354	2380	4325
355	2388	4320
356	2393	4311
357	2397	4299
358	2403	4291
359	2415	4293
360	2420	4285
361	2432	4286
362	2438	4278
363	2455	4290
364	2462	4284
365	2466	4273
366	2471	4262
367	2477	4254
368	2482	4244
369	2486	4232
370	2491	4223
371	2495	4212
372	2499	4202
373	2503	4190
374	2507	4179
375	2512	4169
376	2518	4161
377	2525	4155
378	2530	4146
379	2534	4135
380	2538	4124
381	2543	4114
382	2547	4103
383	2551	4092
384	2555	4081
385	2558	4070
386	2565	4063
387	2570	4055
388	2577	4047
389	2582	4039
