iter	Passed	Remaining
0	0	518
1	0	496
2	1	485
3	1	479
4	2	477
5	2	475
6	3	472
7	3	472
8	4	471
9	9	938
10	11	1045
11	12	1002
12	12	961
13	13	925
14	13	893
15	14	865
16	14	840
17	14	806
18	15	791
19	15	779
20	16	763
21	16	749
22	17	735
23	17	722
24	18	713
25	18	701
26	19	689
27	19	678
28	20	698
29	21	689
30	21	680
31	22	672
32	23	691
33	26	764
34	27	770
35	28	761
36	28	753
37	29	746
38	30	739
39	30	732
40	30	724
41	31	722
42	32	715
43	32	708
44	33	713
45	34	723
46	35	726
47	36	725
48	37	719
49	37	714
50	38	708
51	39	718
52	39	714
53	40	712
54	41	710
55	41	707
56	42	701
57	42	697
58	43	694
59	44	697
60	44	692
61	45	691
62	48	724
63	49	719
64	49	712
65	50	711
66	50	707
67	51	711
68	52	706
69	53	706
70	53	704
71	54	700
72	55	698
73	56	709
74	57	705
75	57	700
76	59	715
77	61	728
78	62	725
79	62	722
80	63	718
81	64	719
82	64	715
83	65	711
84	65	707
85	66	706
86	67	705
87	68	705
88	68	702
89	75	759
90	75	757
91	76	753
92	78	763
93	78	758
94	79	754
95	79	750
96	80	745
97	80	741
98	81	737
99	81	733
100	81	729
101	82	725
102	82	722
103	83	718
104	83	714
105	84	710
106	84	706
107	85	702
108	85	699
109	86	695
110	86	692
111	90	718
112	91	717
113	92	716
114	92	713
115	93	710
116	93	706
117	94	705
118	94	701
119	95	698
120	95	696
121	96	692
122	96	689
123	97	687
124	97	684
125	98	680
126	98	676
127	99	675
128	100	677
129	100	674
130	101	671
131	101	668
132	102	669
133	104	676
134	105	673
135	105	672
136	106	669
137	107	669
138	107	666
139	108	664
140	108	661
141	108	658
142	109	655
143	109	653
144	110	650
145	110	648
146	112	651
147	112	648
148	113	646
149	113	644
150	114	641
151	114	639
152	115	637
153	116	637
154	116	636
155	117	634
156	117	631
157	118	629
158	118	627
159	119	625
160	121	633
161	122	631
162	122	629
163	122	626
164	123	624
165	123	622
166	124	620
167	124	618
168	125	616
169	125	613
170	126	611
171	126	609
172	127	607
173	127	605
174	128	604
175	129	604
176	130	605
177	131	605
178	131	603
179	132	602
180	132	600
181	133	598
182	133	596
183	134	595
184	136	601
185	136	599
186	137	597
187	137	595
188	139	596
189	140	597
190	140	595
191	141	595
192	143	601
193	144	601
194	145	601
195	146	599
196	146	597
197	147	596
198	147	595
199	148	593
200	148	591
201	149	590
202	149	588
203	150	588
204	152	589
205	154	594
206	154	592
207	155	590
208	158	600
209	159	599
210	159	597
211	160	596
212	161	595
213	162	596
214	163	595
215	163	593
216	164	591
217	164	590
218	165	589
219	167	593
220	169	597
221	170	598
222	172	599
223	172	597
224	173	595
225	173	594
226	173	592
227	174	590
228	174	588
229	175	587
230	175	585
231	176	583
232	176	582
233	177	580
234	177	578
235	178	576
236	178	575
237	179	573
238	179	572
239	180	570
240	180	568
241	181	568
242	184	575
243	185	574
244	185	572
245	186	572
246	187	570
247	189	576
248	193	583
249	194	583
250	197	590
251	198	588
252	201	594
253	202	594
254	202	592
255	203	590
256	204	590
257	204	589
258	205	587
259	206	586
260	206	585
261	207	583
262	207	581
263	208	581
264	209	580
265	209	579
266	210	578
267	211	576
268	212	576
269	212	574
270	214	575
271	215	577
272	216	577
273	217	576
274	218	576
275	219	574
276	219	574
277	221	574
278	222	575
279	223	575
280	224	575
281	226	577
282	232	587
283	232	586
284	233	584
285	233	583
286	234	581
287	235	581
288	236	581
289	237	582
290	239	582
291	240	582
292	242	584
293	242	582
294	243	582
295	244	581
296	244	579
297	245	578
298	248	583
299	249	582
300	251	584
301	254	587
302	254	586
303	255	585
304	256	584
305	257	583
306	257	582
307	258	580
308	258	579
309	261	582
310	263	583
311	264	582
312	264	581
313	266	582
314	269	585
315	269	583
316	272	586
317	272	585
318	273	584
319	274	583
320	277	585
321	288	607
322	288	605
323	291	607
324	292	606
325	292	604
326	293	604
327	294	603
328	295	603
329	296	601
330	296	600
331	297	598
332	298	597
333	298	595
334	298	593
335	299	591
336	299	590
337	300	588
338	300	586
339	301	585
340	302	584
341	302	582
342	303	581
343	304	580
344	305	580
345	306	580
346	307	578
347	308	577
348	308	575
349	309	574
350	309	573
351	311	573
352	317	581
353	318	582
354	319	580
355	320	579
356	322	580
357	322	578
358	323	577
359	323	575
360	325	575
361	325	573
362	326	572
363	328	573
364	328	572
365	329	571
366	330	570
367	331	568
368	332	568
369	332	566
370	333	565
371	336	568
372	337	567
373	338	566
374	339	565
375	340	564
376	341	563
377	341	562
378	342	561
379	343	560
380	345	560
381	348	563
382	350	564
383	350	562
384	351	560
385	351	559
386	355	562
387	362	572
388	363	571
389	364	570
390	368	574
391	369	573
392	370	571
393	370	570
394	371	568
395	371	567
396	372	565
397	372	563
398	373	562
399	373	560
400	375	560
401	377	561
402	378	560
403	379	559
404	380	559
405	381	558
406	382	556
407	382	555
408	383	554
409	384	553
410	385	552
411	387	552
412	388	551
413	388	550
414	389	549
415	390	548
416	391	547
417	392	545
418	392	544
419	393	543
420	394	542
421	395	541
422	398	542
423	398	541
424	399	540
425	400	539
426	402	539
427	403	539
428	404	538
429	406	538
430	406	536
431	407	535
432	407	533
433	408	533
434	409	531
435	409	530
436	410	528
437	410	527
438	411	525
439	412	524
440	413	524
441	415	524
442	416	523
443	417	523
444	418	521
445	419	521
446	420	519
447	420	518
448	421	517
449	422	516
450	422	514
451	424	514
452	424	513
453	425	511
454	426	511
455	427	509
456	427	508
457	431	510
458	432	509
459	433	508
460	434	507
461	434	506
462	435	504
463	438	506
464	439	505
465	440	504
466	441	503
467	442	502
468	442	501
469	443	499
470	444	498
471	444	497
472	445	496
473	446	495
474	447	494
475	447	492
476	448	491
477	449	490
478	449	489
479	451	488
480	452	488
481	454	488
482	455	487
483	455	485
484	456	484
485	456	483
486	457	482
487	458	480
488	459	479
489	459	478
490	460	477
491	461	476
492	462	475
493	463	474
494	463	473
495	464	471
496	465	470
497	465	469
498	466	468
499	467	467
500	468	466
501	470	466
502	471	466
503	473	465
504	474	465
505	475	463
506	475	462
507	476	461
508	477	460
509	477	459
510	478	457
511	478	456
512	479	455
513	480	454
514	480	452
515	481	451
516	482	450
517	483	449
518	484	448
519	485	447
520	485	446
521	486	445
522	487	444
523	488	443
524	489	442
525	489	441
526	490	440
527	491	439
528	491	437
529	492	436
530	493	435
531	493	434
532	494	433
533	494	431
534	495	430
535	495	429
536	496	428
537	497	426
538	497	425
539	497	424
540	498	422
541	499	421
542	499	420
543	500	419
544	500	418
545	501	416
546	501	415
547	502	414
548	502	413
549	503	412
550	504	410
551	504	409
552	505	408
553	505	407
554	506	406
555	507	405
556	508	404
557	508	402
558	509	401
559	509	400
560	510	399
561	511	398
562	511	397
563	512	395
564	512	394
565	513	393
566	514	392
567	514	391
568	515	390
569	515	389
570	516	387
571	516	386
572	517	385
573	518	384
574	518	383
575	519	382
576	520	381
577	520	380
578	521	378
579	521	377
580	522	376
581	522	375
582	523	374
583	524	373
584	524	372
585	525	370
586	525	369
587	526	368
588	526	367
589	527	366
590	528	365
591	528	364
592	529	363
593	529	361
594	530	360
595	530	359
596	531	358
597	531	357
598	532	356
599	533	355
600	533	354
601	534	353
602	535	352
603	535	351
604	536	350
605	537	349
606	537	348
607	538	346
608	538	345
609	539	344
610	539	343
611	540	342
612	540	341
613	541	340
614	546	341
615	547	341
616	548	340
617	549	339
618	549	338
619	550	337
620	551	336
621	552	335
622	552	334
623	554	333
624	554	332
625	555	331
626	555	330
627	556	329
628	557	328
629	557	327
630	558	326
631	558	325
632	559	324
633	560	323
634	561	322
635	561	321
636	562	320
637	562	319
638	563	318
639	564	317
640	564	316
641	565	315
642	566	314
643	566	313
644	567	312
645	567	311
646	568	310
647	569	309
648	569	308
649	570	307
650	570	305
651	571	304
652	571	303
653	572	302
654	573	301
655	573	300
656	574	299
657	574	298
658	575	297
659	576	296
660	576	295
661	577	294
662	578	293
663	578	292
664	579	291
665	579	290
666	580	289
667	580	288
668	581	287
669	582	286
670	582	285
671	583	284
672	584	283
673	584	282
674	585	281
675	585	280
676	586	279
677	586	278
678	587	277
679	587	276
680	588	275
681	588	274
682	589	273
683	589	272
684	590	271
685	590	270
686	591	269
687	591	268
688	592	267
689	593	266
690	593	265
691	594	264
692	594	263
693	596	262
694	597	262
695	597	261
696	598	260
697	598	259
698	599	258
699	599	257
700	600	256
701	601	255
702	602	254
703	602	253
704	603	252
705	603	251
706	604	250
707	605	249
708	605	248
709	606	247
710	606	246
711	607	245
712	607	244
713	609	243
714	609	243
715	610	242
716	610	241
717	611	240
718	611	239
719	612	238
720	613	237
721	613	236
722	614	235
723	614	234
724	615	233
725	616	232
726	616	231
727	617	230
728	618	229
729	619	229
730	619	228
731	620	227
732	620	226
733	621	225
734	621	224
735	622	223
736	622	222
737	623	221
738	623	220
739	624	219
740	624	218
741	625	217
742	625	216
743	626	215
744	626	214
745	627	213
746	628	212
747	628	211
748	629	210
749	629	209
750	630	209
751	631	208
752	632	207
753	632	206
754	633	205
755	634	204
756	634	203
757	635	202
758	635	201
759	636	200
760	636	199
761	637	199
762	637	198
763	638	197
764	638	196
765	639	195
766	639	194
767	640	193
768	641	192
769	641	191
770	642	190
771	642	189
772	643	188
773	644	188
774	645	187
775	645	186
776	646	185
777	646	184
778	647	183
779	647	182
780	648	181
781	648	180
782	649	180
783	650	179
784	650	178
785	651	177
786	651	176
787	652	175
788	652	174
789	653	173
790	654	172
791	654	171
792	655	171
793	655	170
794	656	169
795	656	168
796	657	167
797	658	166
798	658	165
799	659	164
800	659	163
801	660	162
802	660	162
803	661	161
804	661	160
805	662	159
806	662	158
807	663	157
808	663	156
809	664	155
810	665	155
811	665	154
812	666	153
813	666	152
814	667	151
815	668	150
816	668	149
817	669	148
818	669	148
819	670	147
820	671	146
821	671	145
822	672	144
823	672	143
824	673	142
825	673	141
826	674	141
827	674	140
828	675	139
829	675	138
830	676	137
831	676	136
832	677	135
833	677	134
834	678	134
835	679	133
836	679	132
837	680	131
838	680	130
839	681	129
840	681	128
841	682	128
842	682	127
843	683	126
844	683	125
845	684	124
846	685	123
847	685	122
848	686	122
849	686	121
850	687	120
851	687	119
852	688	118
853	688	117
854	689	116
855	689	116
856	690	115
857	690	114
858	691	113
859	692	112
860	692	111
861	693	111
862	693	110
863	694	109
864	695	108
865	695	107
866	697	106
867	697	106
868	698	105
869	699	104
870	699	103
871	700	102
872	700	101
873	701	101
874	702	100
875	702	99
876	703	98
877	703	97
878	704	96
879	704	96
880	705	95
881	705	94
882	706	93
883	707	92
884	707	91
885	708	91
886	709	90
887	709	89
888	710	88
889	710	87
890	711	87
891	712	86
892	712	85
893	713	84
894	713	83
895	714	82
896	715	82
897	715	81
898	716	80
899	717	79
900	717	78
901	718	78
902	718	77
903	719	76
904	719	75
905	720	74
906	721	73
907	721	73
908	722	72
909	723	71
910	724	70
911	725	69
912	725	69
913	726	68
914	727	67
915	727	66
916	728	65
917	729	65
918	729	64
919	731	63
920	732	62
921	736	62
922	737	61
923	738	60
924	738	59
925	739	59
926	740	58
927	740	57
928	742	56
929	742	55
930	743	55
931	744	54
932	744	53
933	745	52
934	745	51
935	746	51
936	746	50
937	747	49
938	748	48
939	748	47
940	749	46
941	749	46
942	750	45
943	751	44
944	752	43
945	752	42
946	753	42
947	753	41
948	754	40
949	754	39
950	755	38
951	755	38
952	756	37
953	756	36
954	757	35
955	758	34
956	758	34
957	758	33
958	759	32
959	759	31
960	760	30
961	761	30
962	761	29
963	762	28
964	762	27
965	763	26
966	763	26
967	764	25
968	764	24
969	765	23
970	765	22
971	766	22
972	766	21
973	767	20
974	767	19
975	768	18
976	769	18
977	770	17
978	770	16
979	771	15
980	771	14
981	772	14
982	772	13
983	773	12
984	774	11
985	775	11
986	775	10
987	776	9
988	777	8
989	778	7
990	778	7
991	779	6
992	779	5
993	780	4
994	780	3
995	781	3
996	781	2
997	782	1
998	783	0
999	783	0
	27
971	929	26
972	931	25
973	932	24
974	934	23
975	934	22
976	935	22
977	936	21
978	937	20
979	937	19
980	938	18
981	938	17
982	939	16
983	940	15
984	940	14
985	941	13
986	941	12
987	942	11
988	943	10
989	944	9
990	944	8
991	945	7
992	946	6
993	946	5
994	947	4
995	947	3
996	948	2
997	948	1
998	949	0
999	949	0
