iter	Logloss
0	0.6856516077
1	0.6773847543
2	0.6704253754
3	0.6618154445
4	0.6529608505
5	0.6453460856
6	0.6374317217
7	0.6298735598
8	0.6221861898
9	0.6165327445
10	0.6106801055
11	0.6036462751
12	0.5959007702
13	0.5899883078
14	0.5827297191
15	0.5766710587
16	0.5711453711
17	0.5647334804
18	0.5601256856
19	0.5546745911
20	0.5495826491
21	0.544311108
22	0.5398283641
23	0.5351938098
24	0.5304731084
25	0.5253926598
26	0.5191576857
27	0.5135362135
28	0.5071318584
29	0.5026177162
30	0.4975462299
31	0.492595061
32	0.4881233981
33	0.4841775353
34	0.480530638
35	0.4771223487
36	0.4719036622
37	0.4686826888
38	0.4655949692
39	0.4611807646
40	0.4562709889
41	0.4527127559
42	0.4498897699
43	0.445794265
44	0.4417831342
45	0.4379052772
46	0.4341452781
47	0.4309756424
48	0.4277471426
49	0.4245947559
50	0.4212232093
51	0.4183146002
52	0.4157422969
53	0.4128382201
54	0.4093792119
55	0.4061955044
56	0.4028516525
57	0.3999175045
58	0.3973673929
59	0.39416632
60	0.3918936529
61	0.3894287621
62	0.3868433536
63	0.3836343998
64	0.3812800197
65	0.3793143864
66	0.3765527719
67	0.3742616553
68	0.3717630751
69	0.3682913861
70	0.365832802
71	0.3620904327
72	0.3597293019
73	0.357115432
74	0.3542960406
75	0.3525487921
76	0.3502584104
77	0.3474646207
78	0.344819418
79	0.3421502812
80	0.3397781707
81	0.3381779947
82	0.3362858719
83	0.3334861024
84	0.3305731536
85	0.3287052902
86	0.3267145056
87	0.3247081229
88	0.3230166354
89	0.3205171757
90	0.319409953
91	0.3175828492
92	0.3151759662
93	0.313146681
94	0.3112506211
95	0.3099054332
96	0.3081847075
97	0.3064082076
98	0.3046599114
99	0.3034439169
100	0.3016245449
101	0.3000897589
102	0.2983956652
103	0.2964308488
104	0.2943523158
105	0.2927013147
106	0.2908608954
107	0.2898738955
108	0.2883697756
109	0.2872704533
110	0.2856582614
111	0.2843745434
112	0.2834575418
113	0.2820039624
114	0.2801840353
115	0.2784148054
116	0.276925391
117	0.2757685549
118	0.2747235295
119	0.2735349248
120	0.2726694098
121	0.2710911782
122	0.2699503948
123	0.2683338355
124	0.266384471
125	0.2649946546
126	0.263886598
127	0.262809591
128	0.2617901085
129	0.2607118146
130	0.2592738243
131	0.2581465522
132	0.2574067055
133	0.2566741506
134	0.2554174284
135	0.2538753694
136	0.2524536078
137	0.2514776677
138	0.2503153959
139	0.2488851988
140	0.2480490779
141	0.2470307984
142	0.2460580523
143	0.2448654065
144	0.2440319253
145	0.2424970025
146	0.2410544321
147	0.2401438338
148	0.2392865887
149	0.2381897404
150	0.2369202347
151	0.2359927308
152	0.2346721503
153	0.2335271672
154	0.2322502765
155	0.2318966076
156	0.231275444
157	0.2303920459
158	0.2297183633
159	0.228849605
160	0.227872354
161	0.2268305742
162	0.2257262697
163	0.2247148321
164	0.2238469324
165	0.2230998441
166	0.2219254076
167	0.2212279239
168	0.2202294906
169	0.2195673238
170	0.2185698441
171	0.2176566083
172	0.216717964
173	0.2160578791
174	0.2151648611
175	0.2147509618
176	0.2141223743
177	0.2136790693
178	0.2131539876
179	0.2123951404
180	0.2118314202
181	0.2107791145
182	0.2100376553
183	0.2090557724
184	0.2082351053
185	0.207337913
186	0.2064537743
187	0.2054394168
188	0.2044331065
189	0.2034790491
190	0.2029044386
191	0.202259645
192	0.2015429249
193	0.2006115728
194	0.1999967916
195	0.1992183639
196	0.1985623014
197	0.1977635007
198	0.1971699283
199	0.1961629931
200	0.1956336272
201	0.1951369688
202	0.1943739682
203	0.1938183665
204	0.1934498914
205	0.1928019965
