iter	Passed	Remaining
0	57	57209
1	57	28803
2	58	19354
3	58	14618
4	59	11801
5	59	9908
6	60	8575
7	61	7628
8	62	6843
9	63	6238
10	63	5706
11	63	5263
12	64	4895
13	65	4596
14	66	4334
15	66	4110
16	71	4112
17	72	3969
18	78	4064
19	80	3947
20	81	3776
21	88	3914
22	89	3793
23	92	3749
24	95	3720
25	96	3609
26	98	3552
27	105	3652
28	111	3718
29	113	3678
30	116	3635
31	117	3543
32	119	3505
33	123	3510
34	124	3441
35	125	3354
36	125	3272
37	126	3194
38	130	3225
39	131	3154
40	134	3157
41	138	3160
42	142	3171
43	142	3106
44	153	3264
45	157	3259
46	158	3205
47	160	3173
48	161	3131
49	171	3253
50	172	3214
51	178	3259
52	185	3311
53	190	3341
54	191	3285
55	191	3230
56	192	3178
57	192	3130
58	193	3081
59	193	3034
60	194	2988
61	194	2943
62	195	2900
63	195	2859
64	195	2818
65	196	2779
66	196	2741
67	197	2704
68	197	2668
69	198	2633
70	198	2599
71	199	2565
72	199	2533
73	199	2502
74	200	2471
75	200	2442
76	201	2413
77	201	2384
78	202	2359
79	203	2340
80	203	2314
81	204	2288
82	205	2268
83	205	2244
84	206	2220
85	206	2196
86	207	2174
87	207	2151
88	208	2129
89	208	2107
90	209	2087
91	209	2067
92	210	2052
93	211	2034
94	211	2014
95	212	1998
96	213	1983
97	214	1970
98	215	1957
99	215	1941
100	216	1924
101	216	1907
102	217	1890
103	217	1874
104	219	1868
105	220	1860
106	221	1847
107	223	1841
108	223	1828
109	224	1813
110	224	1799
111	227	1800
112	227	1786
113	228	1778
114	229	1766
115	230	1758
116	231	1749
117	233	1741
118	234	1732
119	234	1720
120	235	1707
121	235	1694
122	236	1683
123	236	1671
124	237	1659
125	237	1648
126	238	1636
127	239	1632
128	241	1629
129	241	1618
130	242	1607
131	242	1597
132	243	1586
133	243	1575
134	244	1566
135	245	1556
136	246	1549
137	246	1539
138	247	1530
139	247	1521
140	248	1512
141	248	1504
142	249	1494
143	250	1491
144	251	1481
145	252	1476
146	252	1467
147	253	1461
148	254	1452
149	255	1448
150	256	1443
151	257	1438
152	258	1432
153	259	1423
154	259	1415
155	259	1406
156	260	1398
157	261	1391
158	261	1383
159	261	1375
160	262	1367
161	262	1359
162	263	1352
163	263	1344
164	264	1337
165	264	1329
166	265	1322
167	265	1315
168	266	1308
169	266	1301
170	266	1294
171	267	1287
172	268	1283
173	268	1276
174	269	1270
175	269	1263
176	270	1257
177	270	1251
178	271	1244
179	271	1238
180	272	1231
181	272	1225
182	274	1223
183	275	1221
184	276	1219
185	277	1216
186	279	1213
187	282	1220
188	283	1217
189	284	1211
190	292	1237
191	292	1231
192	293	1226
193	293	1220
194	294	1214
195	294	1208
196	295	1202
197	295	1196
198	295	1191
199	296	1185
200	296	1179
201	297	1174
202	297	1168
203	298	1163
204	298	1157
205	299	1152
206	299	1147
207	299	1141
208	300	1136
209	300	1131
210	301	1126
211	301	1121
212	302	1116
213	302	1111
214	303	1106
215	303	1101
216	303	1096
217	304	1092
218	305	1088
219	305	1083
220	305	1078
221	306	1073
222	306	1069
223	307	1064
224	307	1060
225	308	1055
226	308	1051
227	309	1046
228	309	1042
229	310	1037
230	310	1033
231	310	1029
232	311	1024
233	311	1020
234	312	1016
235	312	1012
236	313	1008
237	313	1004
238	314	999
239	314	995
240	314	991
241	315	987
242	315	983
243	316	979
