iter	Passed	Remaining
0	54	54279
1	55	27907
2	56	18755
3	56	14173
4	57	11514
5	58	9656
6	59	8414
7	60	7535
8	62	6866
9	63	6244
10	63	5709
11	63	5261
12	65	4966
13	65	4643
14	66	4365
15	66	4117
16	67	3896
17	67	3700
18	68	3527
19	68	3369
20	69	3262
21	70	3130
22	70	3009
23	71	2905
24	71	2803
25	72	2708
26	72	2621
27	73	2547
28	73	2472
29	75	2426
30	89	2811
31	123	3724
32	124	3651
33	126	3592
34	156	4301
35	157	4208
36	179	4661
37	188	4777
38	189	4675
39	191	4591
40	196	4587
41	202	4615
42	202	4516
43	203	4413
44	203	4320
45	204	4231
46	204	4145
47	204	4063
48	205	3986
49	205	3910
50	206	3837
51	206	3767
52	207	3700
53	207	3635
54	207	3572
55	208	3512
56	208	3453
57	209	3402
58	209	3347
59	210	3300
60	211	3249
61	211	3200
62	212	3161
63	213	3121
64	214	3082
65	215	3042
66	215	3000
67	215	2958
68	216	2918
69	216	2880
70	217	2842
71	217	2806
72	219	2787
73	219	2752
74	221	2730
75	221	2697
76	222	2664
77	222	2632
78	223	2601
79	223	2571
80	224	2541
81	224	2512
82	224	2484
83	225	2456
84	225	2430
85	226	2403
86	228	2394
87	228	2371
88	229	2349
89	230	2327
90	230	2306
91	231	2282
92	231	2260
93	232	2237
94	232	2216
95	233	2194
96	233	2173
97	233	2152
98	234	2132
99	234	2112
100	235	2092
101	235	2073
102	235	2055
103	236	2036
104	236	2018
105	237	2001
106	237	1984
107	238	1967
108	238	1950
109	239	1933
110	239	1917
111	239	1901
112	240	1886
113	241	1876
114	242	1869
115	243	1856
116	244	1845
117	244	1830
118	245	1816
119	245	1802
120	246	1788
121	246	1775
122	247	1761
123	247	1748
124	247	1735
125	248	1722
126	248	1710
127	249	1697
128	249	1685
129	250	1673
130	250	1661
131	250	1650
132	251	1638
133	251	1627
134	252	1615
135	252	1604
136	254	1600
137	255	1594
138	255	1584
139	256	1574
1142	290	1739
143	292	1737
144	294	1734
145	295	1727
146	297	1723
147	298	1717
148	301	1723
149	303	1719
150	304	1713
151	306	1708
152	308	1705
153	314	1728
154	318	1738
155	321	1741
156	323	1736
157	323	1725
158	329	1741
159	330	1733
160	332	1730
161	334	1728
162	335	1721
163	336	1714
164	337	1707
165	338	1700
166	339	1695
167	341	1688
168	343	1686
169	344	1681
170	345	1674
171	346	1668
172	347	1662
173	349	1656
174	350	1651
175	351	1647
176	352	1641
177	354	1634
178	355	1630
179	356	1625
180	359	1625
181	360	1619
182	361	1613
183	363	1612
184	364	1607
185	366	1602
186	367	1596
187	368	1590
188	369	1587
189	370	1579
190	371	1574
191	373	1570
192	374	1565
193	375	1559
194	376	1554
195	377	1549
196	378	1542
197	378	1534
198	379	1526
199	379	1518
200	380	1510
201	381	1506
202	383	1506
203	384	1499
204	384	1491
205	385	1484
206	385	1477
207	386	1470
208	386	1463
209	387	1456
210	387	1449
211	388	1444
212	389	1437
213	389	1430
214	389	1423
215	392	1423
216	392	1417
217	393	1410
218	393	1403
219	394	1397
220	395	1393
221	397	1391
222	398	1387
223	398	1380
224	398	1374
225	399	1367
226	399	1361
227	403	1367
228	404	1362
229	405	1356
230	405	1351
231	407	1347
232	408	1344
233	409	1340
234	410	1334
235	411	1333
236	414	1335
237	415	1331
238	416	1327
239	417	1323
240	419	1320
241	420	1318
242	423	1318
243	424	1314
244	425	1310
245	426	1306
246	428	1305
247	429	1301
248	430	1298
249	432	1297
250	433	1294
251	435	1291
252	435	1286
253	439	1289
254	440	1286
255	441	1282
256	444	1285
257	445	1281
258	447	1279
259	448	1275
260	451	1277
261	452	1273
262	453	1271
263	454	1267
264	455	1263
265	457	1261
266	458	1258
267	459	1255
268	460	1252
269	463	1252
270	464	1250
271	465	1246
272	466	1243
273	467	1239
274	468	1233
275	468	1228
276	470	1226
277	471	1224
278	475	1228
279	477	1227
280	478	1225
281	480	1224
282	481	1220
283	483	1219
284	484	1215
285	485	1212
286	486	1209
287	487	1206
288	489	1203
289	490	1200
290	491	1196
291	492	1194
292	493	1191
293	494	1187
294	495	1183
295	496	1180
296	497	1177
297	498	1174
298	499	1171
299	500	1168
300	501	1165
301	503	1162
302	504	1159
303	505	1156
304	506	1153
305	507	1150
306	508	1147
307	509	1144
308	510	1141
309	511	1139
310	512	1136
311	513	1133
312	514	1130
313	516	1129
314	517	1124
315	519	1123
316	520	1121
317	521	1117
318	522	1115
319	524	1114
320	525	1111
321	527	1110
322	528	1108
323	529	1105
324	537	1116
325	538	1114
326	540	1111
327	541	1109
328	543	1108
329	543	1104
330	544	1100
331	545	1096
332	545	1093
333	546	1089
334	548	1088
335	550	1087
336	554	1090
337	562	1100
338	569	1109
339	578	1122
340	581	1124
341	582	1120
342	583	1116
343	585	1115
344	586	1113
345	587	1110
346	589	1109
347	593	1111
348	595	1110
349	599	1112
350	601	1111
351	602	1109
352	603	1106
353	605	1104
354	606	1102
355	609	1102
356	610	1099
357	612	1099
358	614	1096
359	615	1095
360	617	1092
361	618	1089
362	619	1086
363	619	1082
364	620	1078
365	621	1076
366	622	1073
367	622	1069
368	626	1071
369	627	1068
370	630	1068
371	636	1074
372	637	1071
373	639	1070
374	640	1067
375	642	1066
376	643	1064
377	645	1061
378	645	1058
379	646	1055
380	648	1052
381	649	1050
382	650	1048
383	653	1047
384	654	1045
385	654	1041
386	655	1037
387	655	1034
388	656	1030
389	657	1028
390	658	1025
391	659	1022
392	660	1020
393	661	1017
394	661	1013
395	663	1012
396	664	1009
397	666	1007
398	666	1004
399	668	1003
400	669	999
401	669	996
402	670	992
403	670	989
