iter	RMSE
0	75559.11025
1	73523.90061
2	71770.88658
3	69938.05395
4	68232.08036
5	66535.7234
6	65036.71402
7	63610.10371
8	62110.86737
9	60533.64387
10	59176.15183
11	57791.86044
12	56525.30137
13	55294.34995
14	54067.25065
15	52869.71874
16	51709.08481
17	50691.51731
18	49759.76292
19	48874.60462
20	47993.29698
21	47109.02061
22	46192.55836
23	45403.36697
24	44590.53001
25	43788.82129
26	43021.83759
27	42407.03067
28	41781.06987
29	41108.70608
30	40498.10831
31	39953.38689
32	39389.79855
33	38837.75113
34	38298.95942
35	37780.26003
36	37261.93032
37	36829.72141
38	36312.96354
39	35796.25449
40	35409.74588
41	34960.17646
42	34553.77099
43	34168.90486
44	33759.01883
45	33331.66774
46	32983.2922
47	32638.45233
48	32293.54942
49	31927.27389
50	31599.31268
51	31267.50254
52	30985.39982
53	30733.859
54	30415.47988
55	30123.6941
56	29891.85021
57	29578.53385
58	29286.49198
59	29016.33456
60	28788.31964
61	28531.9045
62	28308.72524
63	28093.89541
64	27872.23185
65	27661.23206
66	27490.22651
67	27315.33203
68	27074.15344
69	26869.32874
70	26692.36431
71	26453.92264
72	26223.81559
73	26024.11993
74	25845.57021
75	25648.89654
76	25470.83307
77	25334.64936
78	25153.30392
79	24999.56184
80	24882.19388
81	24797.1175
82	24629.68004
83	24477.58552
84	24331.12959
85	24184.1577
86	24071.24416
87	23880.34999
88	23782.40023
89	23624.27853
90	23592.06065
91	23463.1368
92	23424.46054
93	23391.48076
94	23333.08883
95	23307.42867
96	23172.07457
97	23138.58978
98	23095.47966
99	22996.97445
100	22891.98602
101	22825.52869
102	22682.74942
103	22635.58902
104	22538.02156
105	22475.58404
106	22396.43421
107	22293.57588
108	22221.21806
109	22183.7802
110	22136.21455
111	22075.0954
112	21941.60549
113	21825.90763
114	21745.93014
115	21693.98601
116	21608.93108
117	21538.44716
118	21450.13353
119	21406.85495
120	21390.08695
121	21330.15375
122	21224.77914
123	21158.62866
124	21047.45251
125	21012.23673
126	20908.87412
127	20820.96506
128	20723.49392
129	20619.36727
130	20598.90457
131	20509.48204
132	20399.39348
133	20328.29002
134	20240.32946
135	20162.15796
136	20061.63841
137	19978.32329
138	19905.31016
139	19884.61322
140	19836.5198
141	19758.74419
142	19686.60894
143	19635.79858
144	19551.13415
145	19523.13578
146	19470.98551
147	19394.60296
148	19315.68883
149	19234.96829
150	19153.5866
151	19084.12315
152	19011.28506
153	18949.73129
154	18874.55457
155	18797.50887
156	18727.20288
157	18652.11884
158	18581.89538
159	18537.95934
160	18525.184
161	18474.09815
162	18391.68385
163	18375.02078
164	18308.15917
165	18239.33268
166	18200.7028
167	18159.02807
168	18103.4488
169	18040.24075
170	17991.31708
171	17937.50943
172	17874.22431
173	17811.9112
174	17773.04017
175	17711.32694
176	17655.29827
177	17600.54564
178	17557.27874
179	17507.10858
180	17433.25995
181	17358.19562
182	17306.24902
183	17266.72055
184	17206.79047
185	17162.173
186	17116.23727
187	17066.81527
188	16999.58281
189	16954.66975
190	16899.47732
191	16845.4679
192	16807.31874
193	16764.52732
194	16723.78256
195	16676.31491
196	16660.16844
197	16613.14782
198	16577.8603
199	16532.07429
200	16480.16863
201	16423.21153
202	16391.22797
203	16352.4704
204	16317.15022
205	16280.4049
206	16230.2072
207	16196.57189
208	16159.17665
209	16115.79253
210	16062.84982
211	16029.76985
212	15990.09488
213	15944.44858
214	15897.3772
215	15861.8359
216	15826.4132
217	15789.5715
218	15737.58101
219	15700.27571
220	15666.33654
221	15638.85746
222	15599.44331
223	15557.10039
224	15529.69393
225	15489.22103
226	15443.56152
227	15409.9023
228	15376.116
229	15348.71606
230	15307.1981
231	15277.31942
232	15253.79036
233	15219.55889
234	15181.88866
235	15147.13674
236	15118.84015
237	15078.91578
238	15057.38626
239	15031.62185
240	14989.64074
241	14948.29503
242	14902.06971
243	14867.28764
244	14838.47002
245	14795.60256
246	14750.35441
247	14718.08017
248	14681.23845
249	14643.53702
250	14609.66604
251	14576.70924
252	14537.14815
253	14500.80205
254	14477.64306
255	14445.89721
256	14411.24289
257	14382.86327
258	14342.11036
259	14307.97375
260	14264.83172
261	14227.25446
262	14204.0564
263	14170.25799
264	14137.11426
265	14117.13361
266	14087.4936
267	14059.04873
268	14026.3712
269	13995.7486
270	13968.5546
271	13924.14004
272	13908.50037
273	13888.47413
274	13863.86303
275	13837.26294
276	13802.19376
277	13758.85069
278	13726.44699
279	13695.63137
280	13662.41845
281	13633.71913
282	13609.34016
283	13576.52487
284	13552.62106
285	13526.85799
286	13492.27649
287	13457.25565
288	13421.62532
289	13388.42075
290	13367.13766
291	13342.02805
292	13335.87766
293	13313.5179
294	13286.8508
295	13249.97329
296	13219.51379
297	13201.42285
298	13170.98112
299	13137.66048
300	13109.64986
301	13082.19263
302	13049.97646
303	13030.95963
304	13016.36076
305	13010.78552
306	13005.39254
307	12971.72915
308	12938.84487
309	12910.73284
310	12868.77104
311	12826.82972
312	12810.01521
313	12805.68197
314	12800.70394
315	12768.63823
316	12742.04961
317	12712.87593
318	12673.35218
319	12668.48407
320	12646.55034
321	12612.22372
322	12609.49094
323	12575.79616
324	12554.64857
325	12531.12906
326	12498.01425
327	12468.64456
328	12442.0114
329	12438.42588
330	12416.17284
331	12375.90055
332	12342.10505
333	12308.83813
334	12286.97864
335	12259.8927
336	12232.81655
337	12228.4398
338	12205.60575
339	12183.14184
340	12167.23538
341	12147.8244
342	12124.37541
343	12097.55841
344	12073.68786
345	12053.08299
346	12049.21721
347	12018.3765
348	11995.46389
349	11990.42383
350	11987.47494
351	11970.75088
352	11949.12671
353	11940.6715
354	11916.82145
355	11895.37375
356	11881.66441
357	11866.9858
358	11831.05434
359	11809.63003
360	11793.06617
361	11770.592
362	11766.98535
363	11739.60627
364	11709.31487
365	11695.26663
366	11676.19684
367	11659.2607
368	11656.13834
369	11631.46788
370	11629.59875
371	11626.30417
372	11616.14974
373	11613.30688
374	11595.54118
375	11585.3914
376	11565.20833
377	11552.14417
378	11531.5038
379	11524.96447
380	11506.74957
381	11494.23587
382	11475.7153
383	11474.03942
384	11448.15531
385	11444.95716
386	11414.8241
387	11394.72246
388	11392.14412
389	11364.6494
390	11363.26075
391	11339.955
392	11317.34687
393	11299.92424
394	11280.62025
395	11264.26903
396	11245.69038
397	11220.76148
398	11219.02362
399	11204.16023
400	11189.46799
401	11169.883
402	11148.95186
403	11130.32538
404	11103.543
405	11067.62175
406	11037.58296
407	11033.73021
408	11020.90641
409	11001.15928
410	10979.66325
411	10943.8788
412	10930.42383
413	10909.48392
414	10904.227
415	10890.21701
416	10888.93251
417	10877.01061
418	10863.78126
419	10832.38448
420	10819.55515
421	10807.17576
422	10805.99249
423	10782.70149
424	10774.84674
425	10747.89615
426	10745.43576
427	10727.67102
428	10705.04397
429	10693.68936
430	10692.60569
431	10675.29308
432	10646.52648
433	10626.03197
434	10604.47926
435	10582.93556
436	10568.55032
437	10567.34191
438	10547.0275
439	10522.53757
440	10515.73127
441	10505.40173
442	10471.01228
443	10448.30703
444	10445.70915
445	10418.49562
446	10398.93659
447	10391.29656
448	10389.17623
449	10388.2209
450	10370.08008
451	10348.29071
452	10326.39056
453	10315.11726
454	10291.04518
455	10267.85558
456	10262.14668
457	10243.84794
458	10232.73732
459	10202.8199
460	10193.11686
461	10174.99469
462	10151.09172
463	10137.58769
464	10133.6579
465	10124.234
466	10098.76851
467	10096.73277
468	10081.93447
469	10058.47092
470	10047.85081
471	10030.61774
472	10027.78221
473	10012.75094
474	10009.18772
475	10007.26214
476	9993.189138
477	9973.470653
478	9971.2838
479	9952.367206
480	9935.85147
481	9915.397069
482	9896.576812
483	9881.170989
484	9873.741417
485	9847.491994
486	9843.793374
487	9840.138122
488	9807.708066
489	9784.708207
490	9764.658782
491	9746.445761
492	9731.414667
493	9725.757863
494	9707.084259
495	9695.489873
496	9679.219272
497	9674.765231
498	9673.974321
499	9660.866806
500	9644.656922
501	9618.853652
502	9610.745273
503	9601.408179
504	9586.570737
505	9574.789038
506	9556.973414
507	9546.610052
508	9529.781002
509	9511.009445
510	9502.777185
511	9483.009007
512	9473.101266
513	9457.101952
514	9448.825998
515	9428.383496
516	9426.111339
517	9401.544528
518	9395.901879
519	9382.787486
520	9381.636102
521	9364.803992
522	9363.00182
523	9353.456617
524	9350.988937
525	9335.825973
526	9333.587325
527	9317.614297
528	9291.379553
529	9268.32974
530	9267.224133
531	9248.172432
532	9234.993711
533	9214.336281
534	9194.784205
535	9176.984815
536	9157.345419
537	9134.121531
538	9133.374264
539	9108.816972
540	9079.889088
541	9060.883152
542	9041.737725
543	9033.00426
544	9015.555248
545	8998.173211
546	8982.482006
547	8958.062813
548	8951.332475
549	8939.620674
550	8937.867374
551	8934.584064
552	8911.757476
553	8888.210327
554	8882.229506
555	8879.81266
556	8870.289747
557	8865.656106
558	8855.234551
559	8849.546942
560	8835.324852
561	8819.406026
562	8811.630635
563	8795.561962
564	8780.363436
565	8766.841102
566	8755.718713
567	8743.472732
568	8714.766831
569	8703.66177
570	8685.832935
571	8670.343804
572	8656.310817
573	8640.041714
574	8627.554609
575	8613.031088
576	8596.168726
577	8579.843544
578	8568.313358
579	8549.140882
580	8537.20404
581	8524.064175
582	8513.380229
583	8495.339069
584	8476.707609
585	8474.739577
586	8462.1571
587	8446.081909
588	8433.775729
589	8416.121383
