iter	Passed	Remaining
0	1	1452
1	3	1721
2	4	1643
3	6	1551
4	7	1493
5	8	1462
6	10	1450
7	11	1428
8	13	1472
9	15	1493
10	16	1475
11	17	1458
12	19	1444
13	20	1431
14	21	1415
15	22	1406
16	24	1398
17	25	1391
18	26	1386
19	28	1385
20	29	1378
21	30	1371
22	32	1366
23	33	1360
24	34	1359
25	36	1354
26	37	1349
27	38	1345
28	40	1340
29	41	1334
30	42	1329
31	43	1324
32	45	1321
33	46	1320
34	47	1317
35	49	1313
36	50	1310
37	51	1307
38	52	1305
39	54	1306
40	55	1304
41	57	1301
42	58	1298
43	60	1311
44	61	1308
45	62	1304
46	64	1301
47	65	1301
48	66	1299
49	68	1298
50	69	1296
51	71	1294
52	72	1292
53	73	1290
54	74	1287
55	76	1284
56	77	1282
57	78	1280
58	80	1278
59	81	1277
60	82	1276
61	84	1273
62	85	1271
63	86	1269
64	88	1267
65	89	1265
66	90	1263
67	91	1260
68	93	1258
69	94	1256
70	95	1254
71	97	1252
72	98	1252
73	99	1249
74	101	1248
75	102	1246
76	103	1246
77	105	1244
78	106	1243
79	107	1241
80	109	1241
81	110	1241
82	112	1243
83	114	1243
84	115	1244
85	117	1244
86	118	1245
87	120	1244
88	121	1244
89	123	1250
90	125	1248
91	126	1249
92	128	1249
93	129	1249
94	131	1256
95	133	1256
96	134	1256
97	136	1254
98	137	1252
99	139	1251
100	140	1251
101	142	1250
102	143	1248
103	144	1248
104	146	1246
105	147	1245
106	148	1243
107	150	1242
108	151	1240
109	152	1237
110	154	1235
111	155	1234
112	157	1232
113	158	1231
114	159	1229
115	161	1227
116	162	1225
117	163	1223
118	165	1221
119	166	1219
120	167	1217
121	169	1216
122	170	1214
123	171	1212
124	172	1209
125	174	1207
126	175	1205
127	176	1203
128	178	1202
129	179	1201
130	180	1199
131	181	1196
132	183	1194
133	184	1193
134	185	1191
135	187	1190
136	188	1188
137	190	1187
138	191	1185
139	192	1183
140	193	1181
141	195	1179
142	196	1177
143	197	1175
144	198	1173
145	200	1171
146	201	1169
147	202	1168
148	204	1166
149	205	1164
150	206	1162
151	207	1160
152	209	1158
153	210	1156
154	211	1154
155	213	1153
156	214	1151
157	215	1149
158	217	1148
159	218	1146
160	219	1145
161	221	1143
162	222	1141
163	223	1139
164	224	1137
165	228	1149
166	230	1149
167	232	1150
168	233	1149
169	235	1148
170	236	1146
171	237	1144
172	239	1143
173	240	1141
174	241	1139
175	243	1137
176	244	1135
177	245	1134
178	247	1133
179	248	1131
180	249	1129
181	250	1127
182	252	1126
183	253	1124
184	254	1123
185	256	1121
186	257	1119
187	258	1117
188	260	1116
189	261	1113
190	262	1112
191	264	1111
192	265	1109
193	266	1108
194	268	1106
195	269	1105
196	270	1103
197	271	1101
198	273	1099
199	274	1098
200	275	1096
201	277	1094
202	279	1095
203	280	1094
204	281	1092
205	283	1090
206	284	1089
207	285	1087
208	286	1085
209	288	1084
210	289	1082
211	290	1080
212	292	1079
213	293	1078
214	294	1076
215	296	1074
216	297	1073
217	298	1071
218	299	1069
219	301	1068
220	302	1066
221	304	1066
222	305	1064
223	306	1062
224	308	1061
225	309	1060
226	310	1059
227	312	1057
228	313	1055
229	314	1053
230	316	1052
231	317	1050
232	318	1048
233	319	1047
234	321	1045
235	322	1044
236	324	1043
237	325	1041
238	326	1039
239	327	1038
240	329	1036
241	330	1034
242	331	1033
243	333	1032
244	334	1030
245	335	1029
246	337	1030
247	339	1028
248	340	1027
249	341	1025
250	343	1024
251	344	1023
252	346	1021
253	347	1021
254	349	1020
255	350	1019
256	352	1018
257	354	1018
258	355	1016
259	356	1015
260	357	1013
261	359	1012
262	360	1010
263	362	1009
264	363	1007
265	364	1006
266	365	1004
267	367	1003
268	368	1001
269	369	1000
270	371	998
271	372	996
272	373	995
273	375	993
274	376	992
275	377	990
276	379	989
277	380	987
278	381	986
279	382	984
280	384	983
281	385	981
282	386	980
283	388	978
284	389	977
285	390	975
286	392	974
287	393	972
288	394	970
289	396	969
290	397	967
291	398	966
292	399	965
293	401	964
294	402	962
295	404	961
296	405	960
297	407	958
298	408	957
299	410	957
300	411	956
301	413	954
302	414	953
303	415	951
304	416	949
305	418	948
306	419	946
307	420	945
308	422	943
309	423	942
310	424	940
311	425	939
312	427	937
313	428	936
314	429	934
315	431	933
316	432	931
317	433	930
318	434	928
319	436	927
320	437	925
321	438	924
322	440	922
323	441	921
324	442	919
325	444	918
326	445	916
327	447	915
328	448	914
329	449	912
330	450	911
331	452	909
332	453	908
333	454	907
334	456	905
335	457	904
336	458	902
337	460	901
338	461	899
339	463	899
340	464	898
341	466	897
342	467	895
343	468	894
344	470	892
345	471	891
346	472	889
347	474	888
348	475	887
349	476	885
350	478	884
351	479	882
352	480	881
353	482	881
354	484	879
355	485	878
356	486	876
357	488	875
358	489	873
359	490	872
360	492	871
361	493	869
362	494	868
363	496	866
364	497	865
