iter	Passed	Remaining
0	62	62166
1	63	31463
2	63	21178
3	64	16061
4	65	13025
5	72	12040
6	73	10455
7	75	9330
8	76	8457
9	78	7764
10	79	7126
11	84	6938
12	86	6547
13	88	6201
14	88	5802
15	89	5483
16	89	5182
17	90	4933
18	91	4710
19	91	4507
20	92	4310
21	92	4119
22	93	3970
23	94	3830
24	95	3706
25	95	3592
26	96	3485
27	97	3385
28	98	3292
29	99	3205
30	99	3124
31	100	3047
32	101	2976
33	102	2908
34	103	2845
35	104	2784
36	104	2724
37	105	2681
38	107	2642
39	108	2604
40	113	2660
41	115	2629
42	115	2571
43	116	2528
44	117	2486
45	117	2433
46	118	2396
47	118	2349
48	118	2307
49	119	2274
50	120	2242
51	120	2201
52	121	2172
53	122	2143
54	123	2116
55	123	2090
56	124	2064
57	125	2039
58	126	2015
59	127	1992
60	128	1970
61	128	1949
62	129	1932
63	130	1908
64	131	1885
65	135	1923
66	136	1904
67	137	1885
68	138	1866
69	139	1849
70	139	1825
71	140	1808
72	141	1791
73	143	1790
74	144	1782
75	145	1769
76	146	1754
77	147	1744
78	148	1729
79	149	1714
80	149	1701
81	150	1684
82	150	1664
83	151	1651
84	152	1638
85	153	1630
86	153	1613
87	154	1601
88	155	1590
89	156	1578
90	156	1567
91	157	1556
92	158	1546
93	159	1535
94	160	1525
95	160	1515
96	161	1505
97	161	1490
98	162	1480
99	163	1471
100	163	1457
101	164	1449
102	165	1440
103	166	1431
104	166	1417
105	167	1409
106	167	1401
107	168	1390
108	168	1378
109	169	1370
110	170	1363
111	171	1356
112	171	1344
113	176	1371
114	177	1363
115	177	1354
116	179	1351
117	184	1382
118	185	1373
119	185	1362
120	186	1355
121	187	1348
122	188	1341
123	188	1334
124	189	1328
125	190	1321
126	191	1313
127	191	1306
128	192	1300
129	193	1294
130	193	1284
131	194	1278
132	195	1272
133	196	1267
134	196	1258
135	197	1252
136	198	1247
137	198	1241
138	199	1236
139	200	1231
140	201	1225
141	202	1220
142	202	1215
143	203	1210
144	208	1231
145	209	1226
146	210	1221
147	211	1216
148	212	1211
149	212	1203
150	213	1198
151	213	1193
152	214	1188
153	215	1184
154	216	1179
155	218	1180
156	219	1179
157	220	1175
158	221	1170
159	222	1166
160	222	1161
161	223	1157
162	226	1161
163	226	1156
164	227	1152
165	228	1149
166	229	1146
167	230	1141
168	231	1137
169	232	1133
170	233	1134
171	234	1130
172	235	1126
173	237	1129
174	240	1133
175	240	1126
176	241	1123
177	242	1118
178	243	1114
179	243	1111
180	244	1107
181	245	1103
182	246	1099
183	247	1096
184	247	1092
185	248	1088
186	250	1087
187	250	1083
188	251	1080
189	251	1073
190	252	1070
191	253	1065
192	253	1061
193	254	1058
194	255	1054
195	255	1049
196	256	1046
197	257	1042
198	258	1041
199	259	1037
200	260	1037
201	262	1037
202	263	1034
203	264	1031
204	265	1028
205	265	1025
206	267	1023
207	272	1038
208	274	1037
209	275	1034
210	275	1031
211	276	1027
212	277	1024
213	279	1025
214	279	1022
215	280	1019
216	281	1016
217	281	1011
218	282	1008
219	283	1005
220	284	1002
221	285	999
222	285	996
223	286	993
224	287	990
225	288	987
226	289	984
227	289	981
228	290	978
229	291	974
230	291	971
231	295	978
232	297	980
233	298	977
234	299	976
235	301	975
236	302	972
237	302	969
238	303	966
239	304	964
240	305	961
241	306	958
242	306	955
243	307	953
244	307	948
245	308	946
246	309	943
247	310	940
248	311	938
249	311	935
250	313	936
251	315	935
252	316	933
253	316	930
254	317	928
255	318	925
256	319	923
257	320	920
258	320	918
259	321	914
260	322	912
261	323	909
262	323	906
263	324	903
264	324	901
265	325	898
266	326	896
267	327	894
268	328	891
269	332	899
270	333	896
271	333	893
272	334	890
273	335	888
274	336	886
275	336	883
276	337	881
277	342	890
278	343	888
279	344	886
280	345	882
281	345	880
282	346	878
283	347	875
284	348	873
285	349	871
286	349	869
287	350	866
288	351	864
289	352	862
290	352	859
291	359	870
292	360	870
293	361	867
294	362	865
295	362	863
296	363	861
297	364	858
298	365	856
299	366	854
300	366	852
301	367	850
302	368	847
303	369	845
304	370	843
305	370	841
306	371	839
307	372	836
308	373	834
309	374	832
310	374	830
311	375	828
312	376	826
313	377	824
314	377	820
315	378	818
316	379	816
317	379	814
318	380	812
319	381	810
320	382	808
321	384	808
322	385	807
323	386	806
324	387	804
325	388	802
326	389	800
327	389	798
328	390	796
329	391	794
330	392	792
331	393	790
332	393	789
333	398	793
334	399	792
335	399	789
336	399	786
337	401	786
338	407	793
339	407	791
340	409	791
341	410	790
342	411	788
343	412	786
344	413	784
345	414	782
346	414	780
347	415	778
348	417	778
349	417	776
350	418	774
351	419	772
352	420	770
353	421	768
354	421	766
355	422	764
356	423	762
357	424	760
358	425	759
359	425	756
360	426	754
361	426	752
362	427	749
363	428	747
364	428	746
365	429	744
366	430	742
367	431	740
368	431	738
369	432	736
370	433	734
371	434	732
372	434	730
373	440	737
374	440	734
375	441	732
376	442	731
377	443	729
378	444	727
379	444	725
380	445	724
381	446	722
