iter	MultiClass
0	1.097730985
1	1.096696195
2	1.095932602
3	1.095029153
4	1.094599384
5	1.093258163
6	1.091720664
7	1.09053688
8	1.089980345
9	1.088842444
10	1.088165445
11	1.087416118
12	1.086308779
13	1.085765225
14	1.084828517
15	1.084087587
16	1.083425978
17	1.082738208
18	1.082138768
19	1.081330087
20	1.080416025
21	1.079460511
22	1.078738263
23	1.078218766
24	1.077635455
25	1.076848522
26	1.07605143
27	1.075776287
28	1.074901546
29	1.073749116
30	1.073281913
31	1.072990544
32	1.072402536
33	1.071688647
34	1.071024118
35	1.070393976
36	1.070011662
37	1.069014313
38	1.067860566
39	1.067513699
40	1.06717107
41	1.06657575
42	1.065731014
43	1.065348768
44	1.064937801
45	1.064309137
46	1.063595062
47	1.062888694
48	1.062266667
49	1.061416417
50	1.061046322
51	1.060701358
52	1.060207021
53	1.059419529
54	1.058927599
55	1.058446997
56	1.057917031
57	1.057518555
58	1.057132064
59	1.056865171
60	1.056289981
61	1.055869514
62	1.055363978
63	1.05496616
64	1.054297133
65	1.05388639
66	1.053173927
67	1.052722773
68	1.052057267
69	1.051427542
70	1.051086714
71	1.050692183
72	1.050325749
73	1.050146161
74	1.049583357
75	1.049207218
76	1.048527683
77	1.048165625
78	1.047548478
79	1.047201893
80	1.046470782
81	1.0461819
82	1.045660265
83	1.045023883
84	1.044403517
85	1.044070232
86	1.043667146
87	1.043279938
88	1.04276343
89	1.042621822
90	1.042258086
91	1.042007435
92	1.041424431
93	1.040960846
94	1.040292506
95	1.039945506
96	1.039585531
97	1.039210554
98	1.03890093
99	1.038679958
100	1.038336688
101	1.03770932
102	1.037250964
103	1.036810184
104	1.036553562
105	1.035838187
106	1.035133596
107	1.034758294
108	1.034436357
109	1.03379033
110	1.033486056
111	1.033217816
112	1.032740617
113	1.032261271
114	1.031834428
115	1.03119016
116	1.030571883
117	1.030254404
118	1.02942795
119	1.02877828
120	1.028043841
121	1.02770165
122	1.027216757
123	1.026583571
124	1.026217356
125	1.025652934
126	1.02501159
127	1.024571909
128	1.023778559
129	1.023466855
130	1.022869505
131	1.022574361
132	1.022255881
133	1.021692356
134	1.021237313
135	1.02055819
136	1.020321422
137	1.019804829
138	1.019280551
139	1.018733432
140	1.018209279
141	1.01762954
142	1.016927486
143	1.016605607
144	1.016164735
145	1.015786394
146	1.015440528
147	1.014602307
148	1.014237925
149	1.013974419
150	1.013383448
151	1.012969468
152	1.012730862
153	1.012313837
154	1.012046388
155	1.011242543
156	1.010809873
157	1.0103312
158	1.009892488
159	1.009380791
160	1.009028458
161	1.008400734
162	1.007761915
163	1.007470045
164	1.006920565
165	1.006528951
166	1.006150939
167	1.005522972
168	1.005136614
169	1.004703575
170	1.00438139
171	1.003960567
172	1.003572954
173	1.003326211
174	1.002840526
175	1.00219898
176	1.001877252
177	1.001513441
178	1.000964715
179	1.000558739
180	1.000100177
181	0.9997443157
182	0.9991603401
183	0.9986925902
184	0.9981908648
185	0.9975283611
186	0.9968801057
187	0.9964912501
188	0.9961906602
189	0.9958714735
190	0.9953754974
191	0.9950731872
192	0.9946995013
193	0.9943234909
194	0.9938388592
195	0.9935056795
196	0.9929922323
197	0.9925233843
198	0.9919469436
199	0.9915015139
200	0.9909406337
201	0.9905958874
202	0.9901819435
203	0.9897499647
204	0.9893805073
205	0.9888483363
206	0.9884866705
207	0.9881767356
208	0.9877973794
209	0.9873840001
210	0.9871475358
211	0.9867928637
212	0.986530915
213	0.9860718291
214	0.9858293292
215	0.9854105271
216	0.9852001049
217	0.985007052
218	0.9844816839
219	0.9841836607
220	0.9836740487
221	0.9833069665
222	0.9829059012
223	0.9825533365
224	0.9821988047
225	0.9816260221
226	0.9811416502
227	0.9807960507
228	0.9802517394
229	0.9800115174
230	0.9796827839
231	0.9794455042
232	0.9791692243
233	0.9788210658
234	0.9784022959
235	0.9778526745
