iter	Passed	Remaining
0	71	71748
1	100	49963
2	105	35224
3	116	28931
4	120	24017
5	125	20730
6	146	20781
7	178	22074
8	184	20366
9	191	18979
10	197	17752
11	207	17082
12	213	16185
13	234	16548
14	254	16738
15	307	18941
16	313	18149
17	320	17481
18	326	16853
19	332	16294
20	338	15773
21	347	15430
22	354	15047
23	360	14642
24	366	14281
25	372	13942
26	378	13624
27	383	13318
28	389	13049
29	395	12789
30	401	12547
31	407	12321
32	432	12672
33	452	12842
34	464	12801
35	471	12618
36	479	12467
37	485	12298
38	494	12181
39	507	12168
40	512	11997
41	525	11994
42	534	11899
43	540	11745
44	553	11743
45	604	12527
46	613	12431
47	667	13247
48	699	13578
49	725	13785
50	735	13683
51	767	13983
52	792	14166
53	807	14138
54	818	14071
55	825	13922
56	831	13760
57	836	13589
58	842	13434
59	848	13287
60	854	13146
61	859	13003
62	865	12878
63	870	12737
64	876	12612
65	882	12486
66	888	12368
67	902	12367
68	909	12266
69	914	12155
70	924	12097
71	932	12017
72	1004	12756
73	1037	12979
74	1052	12986
75	1063	12928
76	1069	12819
77	1075	12712
78	1081	12605
79	1087	12501
80	1092	12399
81	1098	12301
82	1104	12204
83	1110	12109
84	1116	12019
85	1122	11929
86	1128	11840
87	1133	11752
88	1141	11682
89	1154	11676
90	1160	11595
91	1166	11512
92	1172	11433
93	1182	11397
94	1215	11576
95	1222	11511
96	1238	11532
97	1253	11540
98	1268	11541
99	1277	11496
100	1281	11410
101	1291	11371
102	1304	11364
103	1314	11323
104	1320	11251
105	1325	11182
106	1331	11114
107	1337	11047
108	1343	10980
109	1349	10918
110	1356	10862
111	1371	10873
112	1380	10838
113	1386	10775
114	1394	10734
115	1412	10766
116	1418	10705
117	1424	10647
118	1437	10645
119	1440	10565
120	1459	10603
121	1475	10616
122	1486	10599
123	1516	10711
124	1531	10723
125	1537	10663
126	1543	10608
127	1549	10552
128	1554	10498
129	1560	10444
130	1566	10391
131	1572	10338
132	1578	10289
133	1584	10239
134	1590	10188
135	1598	10152
136	1605	10115
137	1615	10090
138	1627	10078
139	1641	10085
140	1647	10039
141	1653	9993
142	1658	9941
143	1674	9954
144	1718	10130
145	1736	10160
146	1756	10191
147	1758	10126
148	1760	10057
149	1776	10064
150	1781	10019
151	1788	9976
152	1795	9937
153	1801	9896
154	1810	9871
155	1817	9833
156	1832	9839
157	1838	9799
158	1844	9757
159	1850	9715
160	1856	9673
161	1862	9632
162	1868	9595
163	1874	9557
164	1884	9534
165	1894	9517
166	1900	9478
167	1905	9439
168	1919	9437
169	1946	9504
170	2006	9725
171	2014	9695
172	2022	9666
173	2047	9719
174	2104	9922
175	2129	9969
176	2135	9930
177	2141	9888
178	2149	9859
179	2158	9832
180	2164	9793
181	2170	9753
182	2189	9773
183	2216	9828
184	2245	9894
185	2251	9855
186	2258	9817
187	2270	9805
188	2276	9767
189	2281	9728
190	2288	9691
191	2294	9654
192	2308	9650
193	2319	9638
194	2324	9597
195	2337	9590
196	2343	9553
197	2349	9517
198	2355	9481
199	2361	9445
200	2366	9407
201	2377	9390
202	2400	9425
203	2417	9434
204	2419	9384
205	2423	9339
206	2452	9394
207	2471	9411
208	2497	9453
209	2519	9478
210	2526	9447
211	2537	9432
212	2543	9396
213	2549	9363
214	2554	9327
215	2560	9293
216	2566	9259
217	2571	9225
218	2587	9225
219	2592	9192
220	2597	9157
221	2604	9125
222	2609	9093
223	2616	9062
224	2621	9030
225	2627	8999
226	2668	9087
227	2683	9087
228	2711	9129
229	2724	9120
230	2745	9138
231	2752	9110
232	2758	9081
233	2764	9049
234	2769	9016
235	2779	8996
236	2784	8965
237	2789	8931
238	2799	8914
239	2810	8898
240	2817	8872
241	2824	8846
242	2831	8821
243	2843	8808
244	2849	8779
245	2856	8755
246	2869	8749
247	2890	8763
248	2910	8779
249	2935	8805
250	2970	8863
251	2999	8904
252	3004	8872
253	3009	8840
254	3016	8811
255	3022	8783
256	3028	8755
257	3034	8726
258	3040	8697
